Detected,Detected2,Detected3,Detected4,Detected5,Reality,Was Covert,Frameno,Diff,Diff2,Diff3,Diff4,Diff5
14,14,14,14,14,T11,False,288,False,False,False,False,False
16,16,16,16,16,16,False,289,True,True,True,True,True
0,0,0,0,0,14,True,287,False,False,False,False,False
8,8,8,8,8,8,False,287,True,True,True,True,True
12,12,12,12,12,12,False,288,True,True,True,True,True
9,9,9,9,9,9,False,286,True,True,True,True,True
T2,T2,T2,T2,T2,T2,False,288,True,True,True,True,True
6,10,6,6,6,6,False,287,True,False,True,True,True
15,15,15,15,15,15,False,287,True,True,True,True,True
D6,D6,6,6,6,D6,False,287,True,True,False,False,False
D6,D6,0,D6,D6,D6,False,285,True,True,False,True,True
15,15,15,15,15,15,False,287,True,True,True,True,True
4,10,T15,15,10,10,True,288,False,True,False,False,True
11,11,11,11,11,11,False,287,True,True,True,True,True
9,9,9,9,9,9,False,287,True,True,True,True,True
1,1,1,1,1,1,False,287,True,True,True,True,True
0,0,0,0,0,0,True,285,True,True,True,True,True
9,9,9,9,9,9,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
T9,T9,T9,T9,T9,T9,False,287,True,True,True,True,True
12,12,12,12,12,12,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
10,10,10,10,10,10,False,287,True,True,True,True,True
D13,0,0,0,D13,D13,False,286,True,False,False,False,True
9,9,9,9,9,9,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
D9,D9,D9,D9,D9,0,False,288,False,False,False,False,False
9,9,9,9,9,9,False,290,True,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
11,11,11,11,11,11,False,286,True,True,True,True,True
14,14,14,14,14,14,False,287,True,True,True,True,True
10,10,10,10,10,10,False,287,True,True,True,True,True
15,15,15,15,15,15,False,287,True,True,True,True,True
8,8,8,8,8,8,False,286,True,True,True,True,True
16,16,16,16,16,16,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
2,2,2,2,2,2,False,287,True,True,True,True,True
3,3,19,19,3,3,False,286,True,True,False,False,True
3,D3,3,3,D3,T3,False,287,False,False,False,False,False
T17,T17,T17,T17,T17,T17,False,287,True,True,True,True,True
4,4,4,4,4,4,False,287,True,True,True,True,True
13,13,4,13,4,13,False,287,True,True,False,True,False
0,0,0,0,0,0,False,288,True,True,True,True,True
13,13,13,13,13,13,False,287,True,True,True,True,True
10,10,10,10,10,10,False,287,True,True,True,True,True
T1,T1,T1,T1,T1,13,True,288,False,False,False,False,False
10,10,6,10,10,10,False,287,True,True,False,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
